Task,Start Date Time,Minutes On Task,,,,,,,,
Tasks,5/24/2022 6:52,239.77,,,,,,,,
OLR,5/24/2022 10:52,35.68,,,,,,,,
Projects,5/24/2022 11:28,210.42,,,,,,,,
Tasks,5/25/2022 6:54,35.53,,,,,,,,
OLR,5/25/2022 7:29,37,,,,,,,,
Projects,5/25/2022 8:06,389.84,,,,,,,,
Tasks,5/26/2022 6:56,1.15,,,,,,Row Labels,Sum of Minutes On Task,
Support,5/26/2022 6:57,61.85,,,,,,OLR,132.85,2.214166667
Projects,5/26/2022 8:09,420.25,,,,,,Projects,1350.51,22.5085
Tasks,5/27/2022 6:53,78.38,,,,,,Support,61.85,
OLR,5/27/2022 8:12,60.17,,,,,,Tasks,354.83,
Projects,5/27/2022 9:30,330,,,,,,Grand Total,1900.04,
